sprite,xpos,ypos
groundDirt.png,1,1
groundDirt.png,2,1
groundDirt.png,3,1
groundDirt.png,4,1
groundDirt.png,5,1
groundDirt.png,6,1
groundDirt.png,7,1
groundDirt.png,8,1
groundDirt.png,9,1
groundDirt.png,10,1
groundDirt.png,11,1
groundDirt.png,12,1
groundDirt.png,13,1
groundDirt.png,14,1
groundDirt.png,15,1
groundDirt.png,16,1
groundDirt.png,17,1
groundDirt.png,18,1
groundDirt.png,19,1
groundDirt.png,20,1
groundDirt.png,21,1
groundDirt.png,22,1
groundDirt.png,23,1
groundDirt.png,24,1
groundDirt.png,25,1
groundDirt.png,26,1
groundDirt.png,27,1
groundGrass.png,1,2
groundGrass.png,2,2
groundGrass.png,3,2
groundGrass.png,4,2
groundGrass.png,5,2
groundGrass.png,6,2
groundGrass.png,7,2
groundGrass.png,8,2
groundGrass.png,9,2
groundGrass.png,10,2
groundGrass.png,11,2
groundGrass.png,12,2
groundGrass.png,13,2
groundGrass.png,14,2
groundDirt.png,15,2
groundDirt.png,16,2
groundDirt.png,17,2
groundDirt.png,18,2
groundDirt.png,19,2
groundDirt.png,20,2
groundDirt.png,21,2
groundDirt.png,22,2
groundDirt.png,23,2
groundDirt.png,24,2
groundDirt.png,25,2
groundDirt.png,26,2
groundDirt.png,27,2
groundDirt.png,15,3
groundDirt.png,16,3
groundDirt.png,17,3
groundDirt.png,18,3
groundDirt.png,19,3
groundDirt.png,20,3
groundDirt.png,21,3
groundDirt.png,22,3
groundDirt.png,23,3
groundDirt.png,24,3
groundDirt.png,25,3
groundGrass.png,26,3
groundGrass.png,27,3
groundGrass.png,15,4
groundGrass.png,16,4
groundGrass.png,17,4
groundGrass.png,18,4
groundGrass.png,19,4
groundGrass.png,20,4
groundGrass.png,21,4
groundGrass.png,22,4
groundGrass.png,23,4
groundGrass.png,24,4
groundGrass.png,25,4
groundDirt.png,28,1
groundDirt.png,29,1
groundDirt.png,30,1
groundDirt.png,31,1
groundDirt.png,32,1
groundDirt.png,33,1
groundDirt.png,34,1
groundGrass.png,35,1
groundGrass.png,36,1
groundGrass.png,37,1
groundGrass.png,38,1
groundGrass.png,39,1
groundGrass.png,40,1
groundDirt.png,41,1
groundDirt.png,42,1
groundDirt.png,43,1
groundDirt.png,44,1
groundDirt.png,45,1
groundDirt.png,46,1
groundDirt.png,47,1
groundDirt.png,48,1
groundDirt.png,49,1
groundDirt.png,50,1
groundDirt.png,51,1
groundDirt.png,52,1
groundDirt.png,53,1
groundDirt.png,54,1
groundDirt.png,28,2
groundDirt.png,29,2
groundDirt.png,30,2
groundDirt.png,31,2
groundDirt.png,32,2
groundDirt.png,33,2
groundGrass.png,34,2
groundGrass.png,41,2
groundDirt.png,42,2
groundDirt.png,43,2
groundDirt.png,44,2
groundDirt.png,45,2
groundDirt.png,46,2
groundDirt.png,47,2
groundDirt.png,48,2
groundDirt.png,49,2
groundDirt.png,50,2
groundDirt.png,51,2
groundDirt.png,52,2
groundDirt.png,53,2
groundDirt.png,54,2
groundGrass.png,28,3
groundGrass.png,29,3
groundGrass.png,30,3
groundGrass.png,31,3
groundGrass.png,32,3
groundGrass.png,33,3
groundGrass.png,42,3
groundGrass.png,43,3
groundDirt.png,44,3
groundDirt.png,45,3
groundGrass.png,46,3
groundGrass.png,47,3
groundDirt.png,48,3
groundDirt.png,49,3
groundDirt.png,50,3
groundDirt.png,51,3
groundDirt.png,52,3
groundGrass.png,53,3
groundGrass.png,54,3
groundGrass.png,44,4
groundGrass.png,45,4
groundGrass.png,48,4
groundGrass.png,49,4
groundGrass.png,50,4
groundGrass.png,51,4
groundGrass.png,52,4
groundDirt.png,55,1
groundDirt.png,56,1
groundDirt.png,57,1
groundDirt.png,58,1
groundDirt.png,59,1
groundDirt.png,62,1
groundDirt.png,63,1
groundDirt.png,64,1
groundDirt.png,65,1
groundDirt.png,66,1
groundDirt.png,67,1
groundDirt.png,68,1
groundDirt.png,69,1
groundDirt.png,72,1
groundDirt.png,73,1
groundDirt.png,74,1
groundDirt.png,75,1
groundDirt.png,76,1
groundDirt.png,77,1
groundDirt.png,78,1
groundDirt.png,79,1
groundDirt.png,80,1
groundDirt.png,81,1
groundDirt.png,55,2
groundDirt.png,56,2
groundDirt.png,57,2
groundDirt.png,58,2
